"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,grant_submission_survey,,text,"Record Id",,,,,,,,,,,,,
survey_grants_title,grant_submission_survey,,text,"Grants Title",,,,,,,,,,,,,
survey_grants_type,grant_submission_survey,,dropdown,"Grant Type","1, K | 2, R | 3, F | 4, LRP | 5, VA Merit | 99, Other",,,,,,,y,,,,,
survey_grants_number,grant_submission_survey,,text,"Grant #",,,,,,,,,,,,,
survey_grants_pi,grant_submission_survey,,text,"PI (author)",,,,,,,,,,,,,
survey_pi_netid,grant_submission_survey,,text,"PI Yale NetID",,,,,,,,,,,,,
survey_grants_department,grant_submission_survey,,dropdown,Department,"1002, $Yale School of Medicine$ | 1, Anesthesiology | 2, Cell Biology | 3, Cellular & Molecular Physiology | 4, Child Study Center | 5, Comparative Medicine | 6, Dermatology | 7, Emergency Medicine | 8, Genetics | 9, History of Medicine | 10, Immunobiology | 11, Internal Medicine | 12, Laboratory Medicine | 13, Microbial Pathogenesis | 14, Molecular Biophysics and Biochemistry | 15, Neurology | 16, Neuroscience | 17, Neurosurgery | 17.5, Obstetrics, Gynecology & Reproductive Sciences | 18, Ophthalmology | 19, Orthopaedics & Rehabilitation | 20, Pathology | 21, Pediatrics | 22, Pharmacology | 23, Psychiatry | 24, Radiology & Biomedical Imaging | 25, Surgery | 26, Therapeutic Radiology | 27, Urology | 38, Other School of Medicine | 1003, $Yale School of Public Health$ | 28, Biostatistics | 29, Chronic Disease Epidemiology | 30, Environmental Health Sciences | 31, Epidemiology of Microbial Diseases | 32, Health Care Management | 33, Health Policy | 34, Social and Behavioral Sciences | 39, Other School of Public Health | 1004, $Other Department$ | 35, Yale Center for Clinical Investigation (YCCI) | 40, Joint Data Analytics Team (JDAT) | 36, HRU | 37, Yale School of Nursing | 41, Occupational Health | 42, Infection Prevention | 999, Other",,autocomplete,,,,,,,,,," @PDF-NOENUM=""all"""
survey_nih_center,grant_submission_survey,"NIH Review Information",dropdown,"NIH Institute or Center","1, FIC  Fogarty International Center | 2, NCATS National Center for Advancing Translational Sciences | 3, NCCAM  National Center for Complementary and Alternative Medicine | 4, NCI  National Cancer Institute | 5, NCRR  National Center for Research Resources (dissolved 12/2011) | 6, NEI  National Eye Institute | 7, NHGRI  National Human Genome Research Institute | 8, NHLBI  National Heart, Lung, and Blood Institute | 9, NIA  National Institute on Aging | 10, NIAAA  National Institute on Alcohol Abuse and Alcoholism | 11, NIAID  National Institute of Allergy and Infectious Diseases | 12, NIAMS  National Institute of Arthritis and Musculoskeletal and Skin Diseases | 13, NIBIB  National Institute of Biomedical Imaging and Bioengineering | 14, NICHD  Eunice Kennedy Shriver National Institute of Child Health and Human Development | 15, NIDA  National Institute on Drug Abuse | 16, NIDCD  National Institute on Deafness and Other Communication Disorders | 17, NIDCR  National Institute of Dental and Craniofacial Research | 18, NIDDK  National Institute of Diabetes and Digestive and Kidney Diseases | 19, NIEHS  National Institute on Environmental Health Sciences | 20, NIGMS  National Institute of General Medical Sciences | 21, NIMH  National Institute of Mental Health | 22, NIMHD  National Institute on Minority Health and Health Disparities | 23, NINDS  National Institute on Neurological Disorders and Stroke | 24, NINR  National Institute of Nursing Research | 25, NLM  National Library of Medicine",,,,,,,,,,,,
survey_research_type,grant_submission_survey,,text,"Research Type (T0-T4)",,,,,,,,,,,,,
survey_nih_submission_number,grant_submission_survey,,dropdown,"NIH Submission Number","1, Original Submission | 2, First Resubmission 1 | 3, Second Resubmission | 4, Third Resubmission | 5, Competing Renewal",,,,,,,,,,,,
survey_nih_submission_date,grant_submission_survey,,text,"NIH Submission Date",,,date_mdy,,,,,,,,,,
survey_nih_score,grant_submission_survey,,text,"NIH Score",,,,,,,,,,,,,
survey_grants_abstract,grant_submission_survey,,notes,Abstract,,,,,,,,,,,,,
survey_grants_thesaurus,grant_submission_survey,,notes,Thesaurus,,,,,,,,,,,,,
survey_grants_comments,grant_submission_survey,,notes,Comments,,,,,,,,,,,,,
survey_grants_file,grant_submission_survey,,file,"Grant File",,,,,,,,,,,,,
survey_grants_date,grant_submission_survey,,text,"Grant Date",,,date_mdy,,,,,,,,,,
survey_k_awards,grant_submission_survey,,checkbox,"For K Awards","1, Original | 2, Resubmission | 3, Original Summary Statements | 4, Resub Summary Statements | 5, Original Project Narrative | 6, Original Project Summary (Abstract) | 7, Original References | 8, Original Facilities/ Other Resources | 9, Original Equipment | 10, Original Biosketch | 11, Original Mentor Biosketch | 12, Original Budget | 13, Original Budget Justification | 14, Original Candidate Background | 15, Original Career Goals/ Objectives | 16, Original Career Development | 17, Original RCR | 18, Original Mentor Letter | 19, Original Letter(s) of Support | 20, Original Chair Letter | 21, Original Environment | 22, Original Specific Aims | 23, Original Research Strategy | 24, Original Human Subjects | 25, Original Women/ Minorities | 26, Original Children | 27, Original Planned Enrollment | 28, Original Vertebrate Animals | 29, Original Resource Sharing Plan | 55, Original Authentication of Key Biological and/or Chemical Resources | 30, Introduction | 57, Resub Project Narrative | 31, Resub Project Summary | 32, Resub References | 33, Resub Facilities/ Other Resources | 34, Resub Equipment | 35, Resub Biosketch | 36, Resub Mentor Biosketch | 37, Resub Budget | 38, Resub Budget Justification | 39, Resub Candidate Background | 40, Resub Career Goals/ Objectives | 41, Resub Career Development | 42, Resub RCR | 43, Resub Mentor Letter | 44, Resub Letter of Support | 45, Resub Chair Letter | 46, Resub Environment | 47, Resub Specific Aims | 48, Resub Research Strategy | 49, Resub Human Subjects | 50, Resub Women/ Minorities | 51, Resub Children | 52, Resub Planned Enrollment | 53, Resub Vertebrate Animals | 54, Resub Resource Sharing Plan | 56, Resub Authentication of Key Biological and/or Chemical Resources",,,,,,"[survey_grants_type] = '1'",,LV,,,,
